"","V1","V2","V3","V4","V5","V6","V7","V8"
"251",379.3448596,168.6820018,0.09,86.34,2067.56,17828.24,0.748248602,6328.496889
"252",378.7816174,133.6740044,0.12,87.77,2058.9,17823.07,0.744005957,6249.778543
"253",367.4921156,107.7657994,0.11,89.45,1994.99,17164.95,0.740504745,5802.166162
"254",364.7392389,125.1350664,0.11,90.55,2104.5,18132.7,0.74372079,5803.192956
"255",359.5955604,122.6533885,0.11,92.44,2067.89,17776.12,0.748147209,5876.84537
"256",356.9256773,133.6296019,0.12,91.93,2085.51,17840.52,0.749668098,5797.160223
"257",351.9495305,143.1878541,0.12,91.52,2107.39,18010.68,0.75348933,5827.671458
"258",354.8230548,140.519452,0.13,92.4,2063.11,17619.51,0.756128705,6071.990496
"259",372.3472945,125.8699583,0.13,93.87,2103.84,17689.86,0.756179401,5940.674349
"260",347.0223753,105.7881932,0.14,95.19,1972.18,16528.03,0.755108443,5491.865217
"261",323.554524,105.6185547,0.14,95.55,1920.03,16284.7,0.753932922,5906.585454
"262",327.4197704,107.380755,0.12,94.62,2079.36,17663.54,0.753593891,5980.037623
"263",319.0822908,100.0979205,0.12,95.95,2080.41,17719.92,0.752003295,5660.979464
"264",323.3153321,84.9695838,0.24,96.42,2043.94,17425.03,0.749433627,5629.030083
"265",323.2043538,70.63716803,0.34,98.74,1940.24,16466.3,0.750672518,5266.297829
"266",320.1294863,72.03260444,0.38,97.36,1932.23,16516.5,0.751290379,5502.830982
"267",326.9354216,86.76142521,0.36,95.73,2059.74,17685.09,0.754525435,5781.220773
"268",353.8024628,93.9489081,0.37,94.5,2065.3,17773.64,0.758102692,5793.352711
"269",388.5121365,105.3769867,0.37,95.82,2096.95,17787.2,0.761169817,7780.262676
"270",421.2289417,110.2494047,0.38,96.44,2098.86,17929.99,0.763669777,8072.319496
"271",390.4018125,103.1033961,0.39,96.85,2173.6,18432.24,0.762434055,7689.072135
"272",370.3165878,103.874959,0.4,95.99,2170.95,18400.88,0.763134298,7755.888612
"273",355.9021028,104.2386623,0.4,96.61,2168.27,18308.15,0.764968869,8078.41711
"274",358.3866768,116.3773129,0.4,97.39,2126.15,18142.42,0.765922593,7956.05345
"275",368.3730895,106.8508035,0.41,99.66,2198.81,19123.58,0.76473123,8093.474235
"276",375.2887788,126.548369,0.54,101.16,2238.83,19762.6,0.764981543,8008.135768
"277",379.5899788,128.2451746,0.65,101.35,2278.87,19864.09,0.769439648,7808.322752
"278",380.872624,129.477839,0.66,99.84,2363.64,20812.24,0.771860395,7853.244705
"279",366.0950562,120.9903775,0.79,99.29,2362.72,20663.22,0.772487762,8653.65866
"280",347.8613104,124.1066352,0.9,98.55,2384.2,20940.51,0.7747786,8061.603872
"281",350.1799873,116.9383271,0.91,98.14,2411.8,21008.65,0.77544082,8558.899543
"282",339.7289099,107.7615582,1.04,96.85,2423.41,21349.63,0.776144231,8623.425336
"283",365.4528402,110.238652,1.15,95.47,2470.3,21891.12,0.775608751,8471.802831
"284",345.4107494,114.0323512,1.16,94.27,2471.65,21948.1,0.777931275,8625.526157
"285",353.8602029,120.0681619,1.15,93.58,2519.36,22405.09,0.782050348,9038.037941
"286",358.2761275,125.2771799,1.15,95.04,2575.26,23377.24,0.781556059,8937.885469
"287",361.4092835,137.0125384,1.16,95.02,2647.58,24272.35,0.78157507,9287.73279
"288",357.153357,138.7620076,1.3,94.38,2673.61,24719.22,0.781115635,9159.272614
"289",356.868812,147.7911309,1.41,92.7,2823.81,26149.39,0.785370954,9231.839511
"290",371.2322374,140.5965857,1.42,91.69,2713.83,25029.2,0.788932368,9212.543393
"291",381.8938963,142.7281804,1.51,92.18,2640.87,24103.11,0.790716243,9684.667769
"292",381.2683785,152.7552512,1.69,92.43,2648.05,24163.15,0.793859413,9438.666036
"293",374.8483713,166.1165736,1.7,95.3,2705.27,24415.84,0.797161008,9425.591067
"294",339.9579615,164.3600874,1.82,96.91,2718.37,24271.41,0.798431584,9551.084118
"295",312.5620338,166.975385,1.91,97.16,2816.29,25415.19,0.798485449,9345.672633
